#Wavelength,Intensity
#nm,
578.42,1995.22607000001
578.62,2000.74709523809
578.83,2027.15836222223
579.03,2079.23854999999
579.23,1972.20528333334
579.43,2005.40129523808
579.64,1987.73647
579.84,2018.13889
580.04,1986.20787619048
580.25,1973.75135277778
580.45,2001.87378333332
580.65,1980.77265833333
580.85,2039.94758095238
581.06,2005.87434777779
581.26,1999.25284999999
581.46,2013.84462666668
581.66,1983.5739
581.87,1934.47833166668
582.07,1958.73595333335
582.27,2069.24871333332
582.47,2010.49149523809
582.68,1984.8999288889
582.88,1987.94111333333
583.08,2011.01216999999
583.28,1994.80682857142
583.49,2032.28623055556
583.69,1963.53576666668
583.89,1989.989695
584.09,1978.7808
584.3,2037.70652888888
584.5,1993.16761833334
584.7,1993.30527833333
584.9,2004.30101666667
585.1,2004.55068571428
585.31,2034.45295055555
585.51,1984.18657333334
585.71,1970.76928
585.91,1988.07149047619
586.12,2003.53245888889
586.32,1934.04970833334
586.52,1946.75191666667
586.72,1914.29300500001
586.92,1952.91073333333
587.13,1981.4790861111
587.33,2057.89781166667
587.53,2045.48337166668
587.73,2022.10613833332
587.93,1957.71921904763
588.14,2025.88996722222
